F0-32 PIN,F0-48 PIN,P0-64 PIN,F4-100 PIN,F4-144 PIN,Nucleo,FMC,FMC function,DCMI,LCD,Arduino PWM,ELL-i external function,Ell-i conn. pin,ELL-i name,JTAG,Ard,ELL,DIP,MEM,DDR2,XO2 32,XO2 32 PIN,XO2 256 I/O,XO2 32 BANK,XO2 144,XO2 144 PIN,XO2 4000 I/O,XO2 144 BANK
—,—,—,PC 2,PC 2,,FMC_SDNE0,SDRAM (opt),,,—,MEM CTRL SDRAM,,MEM_SDNE0,,,,,1,,,,,,,,,
—,—,—,PC 3,PC 3,,FMC_SDCKE0,SDRAM (opt),,,,MEM CTRL SDRAM,,MEM_SDCKE0,,,,,1,,,,,,,,,
,,,,PF11,,FMC_SDNRAS,SDRAM,DCMI_D12),,,MEM CTRL SDRAM,,MEM_SDNRAS,,,,,1,,,,,,,,,
,,,,PG 8,,FMC_SDCLK,SDRAM,,,,MEM CTRL SDRAM,,MEM_SDCLK,,,,,1,,,,,,,,,
,,,,PG15,,FMC_SDNCAS,SDRAM,DCMI_D13),,,MEM CTRL SDRAM,,MEM_SDNCAS,,,,,1,,,,,,,,,
—,—,—,—,PB 7,,FMC_NL/NADV,NOR/PSRAM,DCMI_VSYNC,,,MEM CTRL SRAM,,MEM_NADV,,,,,1,,,,,,1,43,PB7B,2
,,,PD 3,PD 3,,FMC_CLK,NOR/PSRAM,DCMI_D 5)++,LCD_G7,,MEM CTRL SRAM,,MEM_CLK,,,,,1,,,,,,1,49,PB13A PCLKT2_0,2
,,,PD 4,PD 4,,FMC_NOE,NOR/PSRAM/SDRAM,,,,MEM CTRL SRAM/SDRAM,,MEM_NOE,,,,,1,,,,,,1,47,PB10A,2
,,,PD 5,PD 5,,FMC_NWE,NOR/PSRAM/SDRAM,,,,MEM CTRL SRAM/SDRAM,,MEM_NWE,,,,,1,,,,,,1,48,PB10B,2
,,,PD 6,PD 6,,FMC_NWAIT,NOR/PSRAM/SDRAM,DCMI_D10)++,LCD_B2)++,,MEM CTRL SRAM/SDRAM,,MEM_NWAIT,,,,,1,,,,,,1,132,PT14B,0
,,,PE 0,PE 0,,FMC_NBL0,SRAM/PSRAM/SDRAM,DCMI_D 2),,,MEM CTRL SRAM/SDRAM,,MEM_NBL0,,,,,1,,,,,,1,38,PB3A,2
,,,PE 1,PE 1,,FMC_NBL1,SRAM/PSRAM/SDRAM,DCMI_D 3),,,MEM CTRL SRAM/SDRAM,,MEM_NBL1,,,,,1,,,,,,1,39,PB3B,2
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A0,,,,,,1,,,,,1,73,PR19B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A1,,,,,,1,,,,,1,74,PR19A,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A2,,,,,,1,,,,,1,75,PR18B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A3,,,,,,1,,,,,1,76,PR18A,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A4,,,,,,1,,,,,1,77,PR16B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A5,,,,,,1,,,,,1,78,PR16A,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A6,,,,,,1,,,,,1,81,PR15B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A7,,,,,,1,,,,,1,82,PR15A,1
